id,registration_no,bussiness_acitivites_id,bussiness_acitivites_secondary_id,tools_technologies_id,languages_id,city_name
1,MFHL-45084-RXKH,0,0,0,0,Rawalpindi
2,HKXD-45086-REMA,0,0,0,0,Lahore
3,HXGP-45088-PBCG,0,0,0,0,Islamabad
4,KZPW-45090-XMYO,0,0,0,0,Karachi
5,PBCD-45092-QNAF,0,0,0,0,Lahore
6,LZFQ-45094-YDZJ,0,0,0,0,Karachi
7,RXPJ-45096-PLRG,0,0,0,0,Islamabad
8,EDBF-45098-MRDJ,0,0,0,0,Lahore
9,FXGS-45100-MIPZ,0,0,0,0,Karachi
10,DXHR-45102-AHXO,0,0,0,0,Karachi
11,XNOF-45104-CWPB,0,0,0,0,Islamabad
12,VJOQ-45106-ERPF,0,0,0,0,Karachi
13,DHNY-45108-CRTZ,0,0,0,0,Islamabad
14,JGWR-45110-JPLA,0,0,0,0,Karachi
15,RLBE-45112-TANK,0,0,0,0,Lahore
16,BETD-45114-IAGD,0,0,0,0,Lahore
17,KCRN-45116-JBRF,0,0,0,0,Lahore
18,VFTA-45118-LHYT,0,0,0,0,Karachi
19,AFHR-45120-AGVB,0,0,0,0,Karachi
20,ZHXJ-45122-VJYE,0,0,0,0,Lahore
21,YHGI-45124-FAEG,0,0,0,0,Lahore
22,ZJEL-45126-XFCQ,0,0,0,0,Islamabad
23,XMBG-45128-DEZB,0,0,0,0,Karachi
24,SYMX-45130-LVGX,0,0,0,0,Islamabad
25,KOLC-45132-IJGC,0,0,0,0,Lahore
26,RKEC-45134-AXFO,0,0,0,0,Islamabad
27,MOHK-45136-FZGE,0,0,0,0,Karachi
28,RJIY-45138-EMTX,0,0,0,0,Lahore
29,QGFO-45140-BHPI,0,0,0,0,Lahore
30,NCGZ-45142-WPEY,0,0,0,0,Lahore
31,ZJNB-45144-MONS,0,0,0,0,Rawalpindi
32,QNFT-45146-WPVB,0,0,0,0,Lahore
33,VQKP-45148-VFQH,0,0,0,0,Islamabad
34,GOAJ-45150-LSGA,0,0,0,0,Faisalabad
35,CZRE-45152-KORW,0,0,0,0,Rawalpindi
36,XRVA-45154-VSJD,0,0,0,0,Lahore
37,CSIT-45156-RLGN,0,0,0,0,Karachi
38,YLWO-45158-CBJW,0,0,0,0,Lahore
39,XYIQ-45160-TQEI,0,0,0,0,Islamabad
40,PACS-45162-KABV,0,0,0,0,Karachi
41,HYKN-45164-KDIM,0,0,0,0,Islamabad
42,PLHG-45166-BLHW,0,0,0,0,Karachi
43,OFXA-45168-WCQB,0,0,0,0,Islamabad
44,NRQF-45170-VHZT,0,0,0,0,Lahore
45,XLWQ-45172-INET,0,0,0,0,Multan
46,CQTO-45174-YDEA,0,0,0,0,Islamabad
47,QECV-45176-XIGA,0,0,0,0,Karachi
48,GMKX-45178-LAXI,0,0,0,0,Peshawar
49,BSYG-45180-LMTW,0,0,0,0,Faisalabad
52,TNQI-45184-LYKX,0,0,0,0,Karachi
53,CHXE-45186-WXTC,0,0,0,0,Islamabad
54,TRFE-45188-TLHY,0,0,0,0,Lahore
55,RDWQ-45190-KLXJ,0,0,0,0,Lahore
56,JOBC-45192-OKRD,0,0,0,0,Lahore
57,YMPD-45194-NIXO,0,0,0,0,Karachi
58,XZNS-45196-SFXQ,0,0,0,0,Rawalpindi
59,CVBS-45198-NMQZ,0,0,0,0,Lahore
60,BMEP-45200-MAKW,0,0,0,0,Lahore
61,KWPQ-45202-PXMO,0,0,0,0,Karachi
62,WDAL-45204-PZQJ,0,0,0,0,Karachi
63,OXZT-45206-LYBS,0,0,0,0,Lahore
64,QHED-45208-XVRS,0,0,0,0,Islamabad
65,TBEL-45210-BZSV,0,0,0,0,Sialkot
66,XZFB-45212-QKNW,0,0,0,0,Lahore
67,TDZN-45214-RCFN,0,0,0,0,Karachi
68,MHXW-45216-NIEJ,0,0,0,0,Karachi
69,MGNC-45218-VJYW,0,0,0,0,Lahore
70,YBSQ-45220-SRGH,0,0,0,0,Hyderabad
71,FMLR-45222-AJZS,0,0,0,0,Islamabad
72,BMIR-45224-KWBJ,0,0,0,0,Islamabad
73,YXQB-45226-JXAK,0,0,0,0,Karachi
74,XYGH-45228-ITSK,0,0,0,0,Karachi
75,QSZE-45230-BEJL,0,0,0,0,Karachi
76,WMOR-45232-INJC,0,0,0,0,Karachi
77,SLVJ-45234-WJVN,0,0,0,0,Karachi
78,KBJE-45236-QAJY,0,0,0,0,Lahore
79,FKRS-45238-ZNGQ,0,0,0,0,Lahore
80,DPTN-45240-HPJN,0,0,0,0,Karachi
81,BTCP-45242-EYGN,0,0,0,0,Islamabad
82,LYTM-45244-JRVZ,0,0,0,0,Lahore
83,YTZJ-45246-OKIZ,0,0,0,0,Lahore
84,KBCY-45248-QVTD,0,0,0,0,Karachi
85,VELH-45250-IHWF,0,0,0,0,Karachi
86,SMXQ-45252-XKNF,0,0,0,0,Karachi
87,HOGB-45254-VXOY,0,0,0,0,Islamabad
88,VFJW-45256-OCXI,0,0,0,0,Karachi
89,VIRZ-45258-XMEO,0,0,0,0,Karachi
90,NKXS-45260-XHBR,0,0,0,0,Lahore
91,BDXH-45262-WVLO,0,0,0,0,Lahore
92,IZYO-45264-WRLZ,0,0,0,0,Karachi
93,NXJB-45266-VHDK,0,0,0,0,Sialkot
94,LMEV-45268-FJMC,0,0,0,0,Karachi
95,VWMJ-45270-YRSZ,0,0,0,0,Karachi
96,FQTJ-45272-ZOYI,0,0,0,0,Lahore
97,GDXR-45274-KPVG,0,0,0,0,Karachi
98,TDAW-45276-LBOK,0,0,0,0,Karachi
99,XAEO-45278-HJVQ,0,0,0,0,Islamabad
100,FQTW-45280-FLGJ,0,0,0,0,Karachi
101,GMYH-45282-VFRC,0,0,0,0,Islamabad
102,JDGO-45284-DSGW,0,0,0,0,Karachi
103,MYCG-45286-OTSN,0,0,0,0,Lahore
104,YWRE-45288-PBIG,0,0,0,0,Lahore
105,ATWB-45290-QCLV,0,0,0,0,Karachi
106,DGQV-45292-KRHF,0,0,0,0,Karachi
107,WZFB-45294-HVIY,0,0,0,0,Lahore
108,ZNKD-45296-BQWX,0,0,0,0,Karachi
109,HEJO-45298-LSGD,0,0,0,0,Karachi
110,TVWI-45300-CDGV,0,0,0,0,Lahore
111,RGCB-45302-YPHO,0,0,0,0,Lahore
112,EFTO-45304-SXIG,0,0,0,0,Karachi
113,KLFQ-45306-ZAWH,0,0,0,0,Lahore
114,JLHI-45308-XIAD,0,0,0,0,Lahore
115,LTID-45310-SCJH,0,0,0,0,Karachi
116,VBWX-45312-SHBR,0,0,0,0,Lahore
117,BNPH-45314-REWD,0,0,0,0,Lahore
118,EPDR-45316-RLAB,0,0,0,0,Multan
119,ANXF-45318-XENW,0,0,0,0,Islamabad
120,LFPH-45320-EGAW,0,0,0,0,Rawalpindi
121,AHTE-45322-XDIS,0,0,0,0,Karachi
122,JEYH-45324-TFKE,0,0,0,0,Rawalpindi
123,PTWO-45326-CTGV,0,0,0,0,Lahore
124,GWEQ-45328-SELG,0,0,0,0,Lahore
125,OCSE-45330-WEDK,0,0,0,0,Lahore
126,JRWV-45332-JYWC,0,0,0,0,Islamabad
127,VQPE-45334-JKQX,0,0,0,0,Peshawar
128,EQCX-45336-PRDQ,0,0,0,0,Lahore
129,KNGT-45338-TAQH,0,0,0,0,Karachi
130,BZOT-45340-JPYQ,0,0,0,0,Karachi
131,OGQP-45342-KRPY,0,0,0,0,Karachi
132,SLEQ-45344-XAMH,0,0,0,0,Karachi
133,ILXZ-45346-WPVS,0,0,0,0,Lahore
